matricule;date;quantite;fournisseur;typePaiement;note;station
2550;23/06/2023 14:30;96.73;0;1407045629;3;93
2502;23/06/2023 12:55;38.79;0;1407062407;3;94
2602;23/06/2023 12:56;32.08;0;1407004594;0;122
929;23/06/2023 12:35;77.08;0;1407004714;3;87
2374;23/06/2023 11:51;30.1;0;1407022474;0;40
932;23/06/2023 11:43;30.89;0;1407022663;0;2
2544;23/06/2023 11:31;100.76;0;1407040610;3;94
2522;23/06/2023 10:55;50.18;0;1407009157;0;102
2522;23/06/2023 10:54;0.51;0;1407009157;0;102
294;23/06/2023 10:46;63.98;0;1407020803;3;16
1139;23/06/2023 15:10;347.61;0;1407023587;3;94
230;23/06/2023 19:29;81.11;0;1407018303;3;10
2539;23/06/2023 19:17;26.93;0;1407018026;0;98
837708;23/06/2023 18:00;31.68;0;1407062403;0;94
1889;24/06/2023 09:58;38.55;0;1407025486;4;94
2374;24/06/2023 08:40;23.76;0;1407022474;0;93
2478;24/06/2023 08:34;45.54;0;1407054290;0;89
2532;24/06/2023 12:50;36.28;0;1407026665;4;101
2530;24/06/2023 12:40;35.64;0;1407004596;0;99
929;24/06/2023 11:33;57.93;0;1407004714;3;48
2394;24/06/2023 15:06;125.94;0;1407020802;3;94
2476;24/06/2023 14:48;36.73;0;1407022662;4;100
2549;24/06/2023 14:29;59.8;0;1407024331;0;28
2537;24/06/2023 14:03;32.75;0;1407040611;3;95
2487;24/06/2023 08:46;39.6;0;1407022475;0;113
817397;24/06/2023 18:29;11.88;0;1407004720;0;96
837710;24/06/2023 18:14;34.01;0;1407058655;4;62
2472;25/06/2023 10:43;37.64;0;1407044677;4;94
2834;25/06/2023 16:09;27.72;0;1407046036;0;24
2559;25/06/2023 14:55;113.35;0;1407004726;3;94
1139;25/06/2023 13:21;347.61;0;1407023587;3;94
2507;25/06/2023 17:57;39.6;0;1407004592;0;98
2515;26/06/2023 10:28;169.77;0;1407004707;3;94
837709;26/06/2023 12:52;50.38;0;1407022917;3;94
2544;26/06/2023 12:44;100.76;0;1407040610;3;93
218;26/06/2023 15:25;55.42;0;1407004717;3;94
2529;26/06/2023 17:07;39.6;0;1407008328;0;90
2549;26/06/2023 16:58;39.6;0;1407024331;0;31
2504;26/06/2023 23:15;30.89;0;1407004598;0;93
2507;27/06/2023 07:58;19.8;0;1407004592;0;98
817369;27/06/2023 07:36;45.35;0;1407004729;4;113
817371;27/06/2023 12:30;59.41;0;1407021295;0;98
2558;27/06/2023 12:07;39.6;0;1407004595;0;102
2834;27/06/2023 12:59;24.55;0;1407046036;0;50
2602;27/06/2023 13:47;22.18;0;1407004594;0;122
1889;27/06/2023 19:06;29.48;0;1407025486;4;98
2374;28/06/2023 06:15;21.78;0;1407022474;0;25
2487;27/06/2023 17:41;38.42;0;1407022475;0;113
2476;28/06/2023 16:40;34.01;0;1407022662;4;100
2539;28/06/2023 20:14;25.74;0;1407018026;0;96
2374;29/06/2023 12:19;34.06;0;1407022474;0;70
2549;29/06/2023 15:35;64.28;0;1407024331;0;113
2530;29/06/2023 15:37;33.66;0;1407004596;0;113
2532;29/06/2023 18:45;42.18;0;1407026665;4;97
2478;29/06/2023 18:18;27.72;0;1407054290;0;100
2834;29/06/2023 22:59;19.8;0;1407046036;0;122
837708;30/06/2023 11:38;39.6;0;1407062403;0;100
2522;30/06/2023 10:30;53.47;0;1407009157;0;102
2478;30/06/2023 21:50;9.78;0;1407054290;0;97
837710;30/06/2023 20:57;38.55;0;1407058655;4;62
2529;30/06/2023 23:29;41.19;0;1407008328;0;100
2529;30/06/2023 23:28;0.42;0;1407008328;0;100
2602;30/06/2023 21:26;31.68;0;1407004594;0;113
817356;01/07/2023 08:46;27.72;0;1407004738;0;93
2507;01/07/2023 07:36;39.6;0;1407004592;0;98
817367;01/07/2023 12:38;52.67;0;1407027605;0;89
817397;01/07/2023 12:09;23.76;0;1407004720;0;96
817374;01/07/2023 12:09;27.72;0;1407004737;0;90
2504;01/07/2023 11:26;22.18;0;1407004598;0;94
2487;01/07/2023 11:03;40.4;0;1407022475;0;89
2537;01/07/2023 13:43;37.78;0;1407040611;3;95
2537;01/07/2023 13:44;28.21;0;1407040611;3;95
2834;01/07/2023 19:23;14.65;0;1407046036;0;69
2834;02/07/2023 22:40;12.67;0;1407046036;0;24
929;03/07/2023 09:33;50.38;0;1407004714;3;13
294;03/07/2023 09:29;71.03;0;1407020803;3;78
932;03/07/2023 13:37;27.72;0;1407022663;0;29
817369;03/07/2023 11:39;36.28;0;1407004729;4;94
2532;03/07/2023 15:33;29.71;0;1407026665;4;94
2544;03/07/2023 15:16;118.39;0;1407040610;3;93
1889;03/07/2023 14:49;36.28;0;1407025486;4;94
1111;03/07/2023 17:28;112.34;0;1407004713;3;94
2602;03/07/2023 16:55;41.58;0;1407004594;0;87
2537;03/07/2023 23:13;37.03;0;1407040611;3;95
2374;04/07/2023 09:47;33.66;0;1407022474;0;34
837708;04/07/2023 09:48;31.68;0;1407062403;0;91
837709;04/07/2023 08:31;40.3;0;1407022917;3;94
2558;04/07/2023 08:22;35.64;0;1407004595;0;93
2507;04/07/2023 08:00;39.6;0;1407004592;0;98
230;04/07/2023 07:31;73.05;0;1407018303;3;29
2476;04/07/2023 13:04;38.55;0;1407022662;4;94
2550;04/07/2023 12:23;173.8;0;1407045629;3;94
2515;04/07/2023 10:41;172.8;0;1407004707;3;7
2559;04/07/2023 15:04;119.9;0;1407004726;3;94
1139;04/07/2023 15:01;347.61;0;1407023587;3;94
2539;04/07/2023 18:22;24.55;0;1407018026;0;98
2558;04/07/2023 17:39;34.46;0;1407004595;0;56
929;05/07/2023 09:27;65.49;0;1407004714;3;13
2530;05/07/2023 09:28;28.12;0;1407004596;0;99
2504;05/07/2023 13:09;19.8;0;1407004598;0;94
2834;05/07/2023 12:44;14.26;0;1407046036;0;87
2544;05/07/2023 16:32;134.51;0;1407040610;3;93
837710;05/07/2023 15:07;36.28;0;1407058655;4;84
2522;05/07/2023 18:50;51.49;0;1407009157;0;100
2394;05/07/2023 17:20;125.94;0;1407020802;3;94
929;06/07/2023 06:32;42.82;0;1407004714;3;108
817367;06/07/2023 10:30;40.0;0;1407027605;0;98
2487;06/07/2023 07:39;34.46;0;1407022475;0;98
2502;06/07/2023 12:52;27.71;0;1407062407;3;94
1609;06/07/2023 12:47;64.48;0;1407004708;3;94
817369;06/07/2023 15:14;36.28;0;1407004729;4;98
1234;06/07/2023 15:05;125.94;0;1407004727;3;84
1139;06/07/2023 14:56;337.53;0;1407023587;3;94
929;06/07/2023 14:56;78.59;0;1407004714;3;85
2530;06/07/2023 16:28;33.66;0;1407004596;0;113
230;06/07/2023 09:19;76.57;0;1407018303;3;87
2507;06/07/2023 21:18;39.6;0;1407004592;0;98
2515;07/07/2023 08:17;154.16;0;1407004707;3;7
294;07/07/2023 08:24;82.12;0;1407020803;3;87
2544;07/07/2023 16:00;120.91;0;1407040610;3;93
837708;07/07/2023 15:46;31.68;0;1407062403;0;100
817372;07/07/2023 15:19;75.57;0;1407022915;3;94
